antecedents|consequents|antecedent support|consequent support|support|confidence|lift|representativity|leverage|conviction|zhangs_metric|jaccard|certainty|kulczynski|length
frozenset({'slope=up', 'maxheartrate_cat=M'})|frozenset({'class=buff'})|0.3234323432343234|0.5445544554455446|0.23432343234323433|0.7244897959183674|1.3304267161410017|1.0|0.058196908799790864|1.653098643197653|0.3670903469598076|0.36979166666666674|0.395075421472937|0.5773964131106988|3
frozenset({'thal=norm', 'maxheartrate_cat=M'})|frozenset({'class=buff'})|0.34983498349834985|0.5445544554455446|0.2838283828382838|0.8113207547169811|1.4898799313893651|1.0|0.09332418390353883|2.413861386138613|0.5057254161256048|0.4648648648648648|0.5857260049220671|0.6662664379645511|3
frozenset({'oldpeak_cat=L', 'numberofvesselscolored=0'})|frozenset({'class=buff'})|0.28052805280528054|0.5445544554455446|0.24092409240924093|0.8588235294117647|1.5771122994652405|1.0|0.0881612913766624|3.2260726072607246|0.5086087721503078|0.4124293785310735|0.6900255754475701|0.6506238859180036|3
frozenset({'numberofvesselscolored=0', 'restingbloodpres_cat=M'})|frozenset({'class=buff'})|0.38943894389438943|0.5445544554455446|0.297029702970297|0.7627118644067796|1.4006163328197225|1.0|0.0849589909485998|1.919377652050919|0.46846846846846846|0.466321243523316|0.47899778924097264|0.6540832049306625|3
frozenset({'restingecg=norm', 'numberofvesselscolored=0'})|frozenset({'class=buff'})|0.31683168316831684|0.5445544554455446|0.24092409240924093|0.7604166666666666|1.396401515151515|1.0|0.06839198771362284|1.9009900990099005|0.4155251141552512|0.3882978723404255|0.4739583333333332|0.6014204545454545|3
frozenset({'slope=up', 'numberofvesselscolored=0'})|frozenset({'class=buff'})|0.30033003300330036|0.5445544554455446|0.264026402640264|0.879120879120879|1.6143856143856141|1.0|0.10048034506420933|3.7677767776777635|0.5439268867924526|0.4545454545454545|0.7345914954610604|0.6819846819846819|3
frozenset({'thal=norm', 'numberofvesselscolored=0'})|frozenset({'class=buff'})|0.37623762376237624|0.5445544554455446|0.33663366336633666|0.8947368421052632|1.6430622009569378|1.0|0.13175178904029017|4.326732673267327|0.6274509803921569|0.5762711864406779|0.7688787185354691|0.7564593301435407|3
frozenset({'oldpeak_cat=L', 'restingbloodpres_cat=M'})|frozenset({'class=buff'})|0.297029702970297|0.5445544554455446|0.2376237623762376|0.8|1.469090909090909|1.0|0.07587491422409567|2.2772277227722775|0.4542253521126761|0.3934426229508196|0.5608695652173914|0.6181818181818182|3
frozenset({'oldpeak_cat=L', 'slope=up'})|frozenset({'class=buff'})|0.3234323432343234|0.5445544554455446|0.2508250825082508|0.7755102040816326|1.4241187384044525|1.0|0.07469855896480734|2.0288028802880285|0.44017971758664937|0.4064171122994652|0.5070984915705412|0.6180581323438465|3
frozenset({'oldpeak_cat=L', 'thal=norm'})|frozenset({'class=buff'})|0.3069306930693069|0.5445544554455446|0.25742574257425743|0.8387096774193549|1.5401759530791788|1.0|0.09028526615037741|2.823762376237624|0.506043956043956|0.4333333333333333|0.6458625525946704|0.6557184750733138|3
frozenset({'slope=up', 'restingbloodpres_cat=M'})|frozenset({'class=buff'})|0.31353135313531355|0.5445544554455446|0.24092409240924093|0.7684210526315789|1.4111004784688994|1.0|0.07018919713753552|1.966696669666966|0.4243940990516332|0.39037433155080214|0.4915331807780319|0.6054226475279106|3
frozenset({'thal=norm', 'restingbloodpres_cat=M'})|frozenset({'class=buff'})|0.37293729372937295|0.5445544554455446|0.3069306930693069|0.8230088495575221|1.511343523732904|1.0|0.10384602816717312|2.5732673267326724|0.5395585738539895|0.5027027027027028|0.6113889957676027|0.6933226065969429|3
frozenset({'restingecg=norm', 'slope=up'})|frozenset({'class=buff'})|0.2739273927392739|0.5445544554455446|0.22772277227722773|0.8313253012048194|1.5266155531215773|1.0|0.07855439009247461|2.700141442715702|0.47509881422924916|0.3854748603351955|0.6296490309062339|0.6247535596933188|3
